Pos,Team,PTS,Year
1,Vanwall,48.0,1958
2,Ferrari,40.0,1958
3,Cooper Climax,31.0,1958
4,BRM,18.0,1958
5,Maserati,6.0,1958
6,Lotus Climax,3.0,1958
1,Cooper Climax,40.0,1959
2,Ferrari,32.0,1959
3,BRM,18.0,1959
4,Lotus Climax,5.0,1959
1,Cooper Climax,48.0,1960
2,Lotus Climax,34.0,1960
3,Ferrari,26.0,1960
4,BRM,8.0,1960
5,Cooper Maserati,3.0,1960
6,Cooper Castellotti,3.0,1960
1,Ferrari,40.0,1961
2,Lotus Climax,32.0,1961
3,Porsche,22.0,1961
4,Cooper Climax,14.0,1961
5,BRM Climax,7.0,1961
1,BRM,42.0,1962
2,Lotus Climax,36.0,1962
3,Cooper Climax,29.0,1962
4,Lola Climax,19.0,1962
5,Porsche,18.0,1962
6,Ferrari,18.0,1962
7,Brabham Climax,6.0,1962
8,Lotus BRM,1.0,1962
1,Lotus Climax,54.0,1963
2,BRM,36.0,1963
3,Brabham Climax,28.0,1963
4,Ferrari,26.0,1963
5,Cooper Climax,25.0,1963
6,BRP BRM,6.0,1963
7,Porsche,5.0,1963
8,Lotus BRM,4.0,1963
1,Ferrari,45.0,1964
2,BRM,42.0,1964
3,Lotus Climax,37.0,1964
4,Brabham Climax,30.0,1964
5,Cooper Climax,16.0,1964
6,Brabham BRM,7.0,1964
7,BRP BRM,5.0,1964
8,Lotus BRM,3.0,1964
1,Lotus Climax,54.0,1965
2,BRM,45.0,1965
3,Brabham Climax,27.0,1965
4,Ferrari,26.0,1965
5,Cooper Climax,14.0,1965
6,Honda,11.0,1965
7,Brabham BRM,5.0,1965
8,Lotus BRM,2.0,1965
1,Brabham Repco,42.0,1966
2,Ferrari,31.0,1966
3,Cooper Maserati,30.0,1966
4,BRM,22.0,1966
5,Lotus BRM,13.0,1966
6,Lotus Climax,8.0,1966
7,Eagle Climax,4.0,1966
8,Honda,3.0,1966
9,McLaren Ford,2.0,1966
10,Brabham BRM,1.0,1966
11,McLaren Serenissima,1.0,1966
12,Brabham Climax,1.0,1966
1,Brabham Repco,63.0,1967
2,Lotus Ford,44.0,1967
3,Cooper Maserati,28.0,1967
4,Honda,20.0,1967
5,Ferrari,20.0,1967
6,BRM,17.0,1967
7,Eagle Weslake,13.0,1967
8,Cooper Climax,6.0,1967
